ID,Section,Screen,Segment,Copy Type,Content,Status,Notes,Figma Link,Key,Variables,Condition,File,Line,Storage
43,Profile,Profile Review,,stat,Quality Council,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.council.value,,,src/scenes/OnboardingFlow.tsx,,constant
44,Profile,Profile Review,,label,2 years running,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.council.sub,,,src/scenes/OnboardingFlow.tsx,,constant
45,Profile,Profile Review,,label,Active clients,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.clients.label,,,src/scenes/OnboardingFlow.tsx,,constant
46,Profile,Profile Review,,stat,213,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.clients.value,,,src/scenes/OnboardingFlow.tsx,,constant
47,Profile,Profile Review,,label,in your book,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.clients.sub,,,src/scenes/OnboardingFlow.tsx,,constant
48,Profile,Profile Review,,label,Source: Salesforce,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.clients.source,,,src/scenes/OnboardingFlow.tsx,,constant
49,Profile,Profile Review,,label,2026 production pace,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.pace.label,,,src/scenes/OnboardingFlow.tsx,,constant
50,Profile,Profile Review,,stat,+8%,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.pace.value,,,src/scenes/OnboardingFlow.tsx,,constant
51,Profile,Profile Review,,label,vs. last year,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.pace.sub,,,src/scenes/OnboardingFlow.tsx,,constant
52,Profile,Profile Review,,label,Source: Salesforce,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.pace.source,,,src/scenes/OnboardingFlow.tsx,,constant
53,Profile,Profile Review,,label,3 year average FYC,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.fyc.label,,,src/scenes/OnboardingFlow.tsx,,constant
54,Profile,Profile Review,,stat,$52K,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.fyc.value,,,src/scenes/OnboardingFlow.tsx,,constant
55,Profile,Profile Review,,label,Source: Salesforce,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.fyc.source,,,src/scenes/OnboardingFlow.tsx,,constant
56,Profile,Profile Review,,label,Primary product,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.product.label,,,src/scenes/OnboardingFlow.tsx,,constant
57,Profile,Profile Review,,stat,Protection,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.product.value,,,src/scenes/OnboardingFlow.tsx,,constant
58,Profile,Profile Review,,label,Transitioning to holistic,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.product.sub,,,src/scenes/OnboardingFlow.tsx,,constant
59,Profile,Profile Review,,label,Source: Salesforce,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.product.source,,,src/scenes/OnboardingFlow.tsx,,constant
60,Profile,Profile Review,,label,Licensing,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.licensing.label,,,src/scenes/OnboardingFlow.tsx,,constant
61,Profile,Profile Review,,stat,6 active licenses,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.licensing.value,,,src/scenes/OnboardingFlow.tsx,,constant
62,Profile,Profile Review,,label,Source: Sales Central,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.licensing.source,,,src/scenes/OnboardingFlow.tsx,,constant
63,Profile,Profile Review,,label,Practice type,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.practice.label,,,src/scenes/OnboardingFlow.tsx,,constant
64,Profile,Profile Review,,stat,Solo,draft,Demo value — will be data-driven in production,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.practice.value,,,src/scenes/OnboardingFlow.tsx,,constant
65,Profile,Profile Review,,label,Source: Sales Central,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.profile.cards.practice.source,,,src/scenes/OnboardingFlow.tsx,,constant
66,Profile,Your Targets,,body,Your manager Elisa F. has set some targets for your development. These factor into how I suggest your goals.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2752,onboarding.targets.body,,,src/scenes/OnboardingFlow.tsx,,inline
67,Profile,Your Targets,,label,Your targets,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2752,onboarding.targets.section-label,,,src/scenes/OnboardingFlow.tsx,,inline
68,Profile,Your Targets,,cta,This looks good,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2752,onboarding.targets.cta-primary,,,src/scenes/OnboardingFlow.tsx,,inline
69,Profile,Your Targets,,cta,There's an issue,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2752,onboarding.targets.cta-secondary,,,src/scenes/OnboardingFlow.tsx,,inline
70,Goals,Goals Introduction,,headline,Let's define your goals for 2026.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.goals-intro.headline,,"mode !== ""revisit-goals""",src/scenes/OnboardingFlow.tsx,,inline
71,Goals,Goals Introduction,,headline,Let's revisit your goals.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.goals-intro.headline-revisit,,"mode === ""revisit-goals""",src/scenes/OnboardingFlow.tsx,,inline
72,Goals,Goals Introduction,,body,"Set the targets that you want to keep track against. We'll help you figure out the pace and the steps to get there. Don't worry, you can adjust this at any time.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.goals-intro.body,,"mode !== ""revisit-goals""",src/scenes/OnboardingFlow.tsx,,inline
73,Goals,Goals Introduction,,body,Walk through each question and update anything that's changed. Your previous answers are already filled in — just adjust what you want and confirm the rest.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.goals-intro.body-revisit,,"mode === ""revisit-goals""",src/scenes/OnboardingFlow.tsx,,inline
74,Goals,Goals Introduction,,cta,Continue,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2537,onboarding.goals-intro.cta,,,src/scenes/OnboardingFlow.tsx,,inline
75,Goals,Your Vision,,headline,Anything else you want to share about your vision?,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2979,onboarding.advisor-vision.headline,,,src/scenes/OnboardingFlow.tsx,,inline
76,Goals,Your Vision,,body,In your own words — no right answer.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2979,onboarding.advisor-vision.sub,,,src/scenes/OnboardingFlow.tsx,,inline
77,Goals,Your Vision,,placeholder,"e.g. Someone who helps people think about their whole financial picture, not just their policies",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2979,onboarding.advisor-vision.placeholder,,,src/scenes/OnboardingFlow.tsx,,inline
78,Goals,Practice Direction,,headline,Where do you want your practice to head in the next 2–3 years?,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.headline,,,src/scenes/OnboardingFlow.tsx,,inline
79,Goals,Practice Direction,,body,Select up to 3.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.sub,,,src/scenes/OnboardingFlow.tsx,,inline
80,Goals,Practice Direction,,label,Become a true holistic financial advisor,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.holistic.title,,,src/scenes/OnboardingFlow.tsx,,constant
81,Goals,Practice Direction,,label,"Planning, investments, protection together",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.holistic.sub,,,src/scenes/OnboardingFlow.tsx,,constant
82,Goals,Practice Direction,,label,Build toward Eagle and investment advisory,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.eagle.title,,,src/scenes/OnboardingFlow.tsx,,constant
83,Goals,Practice Direction,,label,"IAR track, AUM, fee-based",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.eagle.sub,,,src/scenes/OnboardingFlow.tsx,,constant
84,Goals,Practice Direction,,label,Generating qualified referrals consistently,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.referrals.title,,,src/scenes/OnboardingFlow.tsx,,constant
85,Goals,Practice Direction,,label,Before expanding further,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.referrals.sub,,,src/scenes/OnboardingFlow.tsx,,constant
86,Goals,Practice Direction,,label,Build a referral-driven practice,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.referral-practice.title,,,src/scenes/OnboardingFlow.tsx,,constant
87,Goals,Practice Direction,,label,"Less cold outreach, more warm pipeline",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.referral-practice.sub,,,src/scenes/OnboardingFlow.tsx,,constant
88,Goals,Practice Direction,,label,Build toward a team-based model,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.team.title,,,src/scenes/OnboardingFlow.tsx,,constant
89,Goals,Practice Direction,,label,"Teaming, staff, shared clients",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3208,onboarding.direction.options.team.sub,,,src/scenes/OnboardingFlow.tsx,,constant
90,Goals,FYC Target,,headline,Let's set meaningful targets that work for you.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.headline,,,src/scenes/OnboardingFlow.tsx,,inline
91,Goals,FYC Target,,body,"I recommend aiming for $42,000–$51,000 targets based on your past performance and current targets. You can adjust them at any time.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.body,,,src/scenes/OnboardingFlow.tsx,,inline
92,Goals,FYC Target,,label,Set your FYC target for 2026,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.card-heading,,,src/scenes/OnboardingFlow.tsx,,inline
93,Goals,FYC Target,,label,Conservative,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.gauge-conservative,,,src/scenes/OnboardingFlow.tsx,,inline
94,Goals,FYC Target,,label,Stretch,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.gauge-stretch,,,src/scenes/OnboardingFlow.tsx,,inline
95,Goals,FYC Target,,body,A conservative goal that builds momentum.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.feedback-conservative,,val < 35000,src/scenes/OnboardingFlow.tsx,,inline
96,Goals,FYC Target,,body,This is a comfortably ambitious goal based on your current trajectory.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.feedback-ambitious,,35000 <= val <= 55000,src/scenes/OnboardingFlow.tsx,,inline
97,Goals,FYC Target,,body,"A stretch — possible, but it leaves no slack.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.feedback-stretch,,val > 55000,src/scenes/OnboardingFlow.tsx,,inline
98,Goals,FYC Target,,cta,Save this goal,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-2266,onboarding.fyc-target.cta,,,src/scenes/OnboardingFlow.tsx,,inline
99,Goals,Activity Targets,,headline,What are your weekly activity targets?,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.headline,,,src/scenes/OnboardingFlow.tsx,,inline
100,Goals,Activity Targets,,body,"These give your plan leading indicators, beyond outcomes tracking.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.sub,,,src/scenes/OnboardingFlow.tsx,,inline
101,Goals,Activity Targets,,body,I've suggested a comfortable starting point based on your historic performance and current goals.,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.guidance,,,src/scenes/OnboardingFlow.tsx,,inline
102,Goals,Activity Targets,,label,New prospects to contact,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.slider1-label,,,src/scenes/OnboardingFlow.tsx,,inline
103,Goals,Activity Targets,,label,Client appointments,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.slider2-label,,,src/scenes/OnboardingFlow.tsx,,inline
104,Goals,Activity Targets,,label,Client reviews,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.slider3-label,,,src/scenes/OnboardingFlow.tsx,,inline
105,Goals,Activity Targets,,cta,Next,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3437,onboarding.activity-target.cta,,,src/scenes/OnboardingFlow.tsx,,inline
106,Goals,Life Outside Work,,headline,What are you looking forward to outside of work this year?,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3648,onboarding.outside-work.headline,,,src/scenes/OnboardingFlow.tsx,,inline
107,Goals,Life Outside Work,,body,"Optional. This is what makes your morning briefing feel like it's on your side, not just your pipeline.",draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3648,onboarding.outside-work.sub,,,src/scenes/OnboardingFlow.tsx,,inline
108,Goals,Life Outside Work,,placeholder,Or describe in your own words…,draft,,https://www.figma.com/design/VCjqlGu9kQVy2i5nqDxKqa/Exploration-pt-II?node-id=524-3648,onboarding.outside-work.placeholder,,,src/scenes/OnboardingFlow.tsx,,inline
